Species
Ablennes hians
Abudefduf saxatilis
Abudefduf vaigiensis
Acanthocybium solandri
Acantholabrus palloni
Acanthopagrus bifasciatus
Acanthostracion notacanthus
Acanthostracion quadricornis
Acanthurus coeruleus
Acanthurus monroviae
Acipenser naccarii
Acipenser stellatus
Acipenser sturio
Aetomylaeus bovinus
Aidablennius sphynx
Alectis alexandrina
Alepes djedaba
Alepisaurus ferox
Alepocephalus rostratus
Alopias superciliosus
Alopias vulpinus
Alosa algeriensis
Alosa alosa
Alosa fallax
Aluterus monoceros
Ammodytes tobianus
Anarchias euryurus
Anarhichas lupus
Anguilla anguilla
Anguilla japonica
Anthias anthias
Aphaniops dispar
Aphanius fasciatus
Aphia minuta
Apletodon dentatus
Apletodon incognitus
Apogon imberbis
Apogonichthyoides nigripinnis
Apogonichthyoides pharaonis
Apogonichthyoides taeniatus
Apterichtus anguiformis
Apterichtus caecus
Arctozenus risso
Argentina sphyraena
Argyropelecus hemigymnus
Argyropelecus olfersii
Argyrosomus regius
Ariosoma balearicum
Arnoglossus grohmanni
Arnoglossus imperialis
Arnoglossus kessleri
Arnoglossus laterna
Arnoglossus rueppelii
Arnoglossus thori
Arothron hispidus
Atherina boyeri
Atherina hepsetus
Atherina presbyter
Atherinomorus forskalii
Atherinomorus lacunosus
Aulopus filamentosus
Aulotrachichthys sajademalensis
Auxis rochei
Balistes capriscus
Bathophilus nigerrimus
Bathophilus vaillanti
Bathygobius soporator
Bathypterois dubius
Bathypterois grallator
Bathysaurus mollis
Bathysolea profundicola
Bathytoshia centroura
Bellottia apoda
Belone belone
Belone svetovidovi
Benthocometes robustus
Benthophilus stellatus
Benthosema glaciale
Beryx decadactylus
Beryx splendens
Blennius ocellaris
Boops boops
Borostomias antarcticus
Bothus podas
Brama brama
Bregmaceros atlanticus
Bregmaceros nectabanus
Buenia affinis
Buenia jeffreysii
Buenia lombartei
Buglossidium luteum
Callanthias ruber
Callionymus fasciatus
Callionymus filamentosus
Callionymus lyra
Callionymus maculatus
Callionymus pusillus
Callionymus reticulatus
Callionymus risso
Campogramma glaycos
Capros aper
Caranx crysos
Caranx fischeri
Caranx rhonchus
Carapus acus
Carcharhinus altimus
Carcharhinus amboinensis
Carcharhinus brachyurus
Carcharhinus brevipinna
Carcharhinus falciformis
Carcharhinus limbatus
Carcharhinus longimanus
Carcharhinus melanopterus
Carcharhinus obscurus
Carcharhinus plumbeus
Carcharias taurus
Carcharodon carcharias
Carlarius parkii
Cataetyx alleni
Cataetyx laticeps
Centracanthus cirrus
Centrolabrus exoletus
Centrolabrus melanocercus
Centrolophus niger
Centrophorus granulosus
Centrophorus uyato
Centroscymnus coelolepis
Cephalopholis taeniops
Cepola macrophthalma
Ceratoscopelus maderensis
Cetorhinus maximus
Chaetodon hoefleri
Chaetodon larvatus
Champsodon nudivittis
Champsodon vorax
Chanos chanos
Chauliodus sloani
Chaunax suttkusi
Cheilopogon exsiliens
Cheilopogon heterurus
Chelidonichthys cuculus
Chelidonichthys lastoviza
Chelidonichthys lucerna
Chelidonichthys obscurus
Chelon auratus
Chelon caeruleus
Chelon labrosus
Chelon ramada
Chelon saliens
Chimaera monstrosa
Chlopsis bicolor
Chlorophthalmus agassizi
Chloroscombrus chrysurus
Chromis chromis
Chromis viridis
Chromogobius quadrivittatus
Chromogobius zebratus
Citharus linguatula
Clinitrachus argentatus
Coelorinchus caelorhincus
Coelorinchus mediterraneus
Coelorinchus occa
Conger conger
Corcyrogobius liechtensteini
Coregonus lavaretus
Coris julis
Coryogalops ocheticus
Coryphaena equiselis
Coryphaena hippurus
Coryphaenoides guentheri
Coryphaenoides mediterraneus
Coryphoblennius galerita
Crenidens crenidens
Cryptocentrus caeruleomaculatus
Cryptocentrus steinhardti
Crystallogobius linearis
Ctenolabrus rupestris
Cubiceps capensis
Cubiceps gracilis
Cyclichthys spilostylus
Cyclothone braueri
Cyclothone microdon
Cyclothone pygmaea
Cynoglossus sinusarabici
Cynoponticus ferox
Dactylopterus volitans
Dagetichthys lusitanicus
Dalatias licha
Dalophis imberbis
Dasyatis chrysonota
Dasyatis marmorata
Dasyatis pastinaca
Dasyatis tortonesei
Decapterus macarellus
Decapterus punctatus
Decapterus russelli
Deltentosteus collonianus
Deltentosteus quadrimaculatus
Dentex dentex
Dentex gibbosus
Dentex macrophthalmus
Dentex maroccanus
Diaphus holti
Diaphus metopoclampus
Diaphus rafinesquii
Dicentrarchus labrax
Dicentrarchus punctatus
Dicologlossa cuneata
Dicologlossa hexophthalma
Didogobius bentuvii
Didogobius schlieweni
Didogobius splechtnai
Diodon hystrix
Diogenichthys atlanticus
Diplecogaster bimaculata
Diplecogaster umutturali
Diplodus annularis
Diplodus bellottii
Diplodus cervinus
Diplodus puntazzo
Diplodus sargus
Diplodus vulgaris
Dipturus batis
Dipturus nidarosiensis
Dipturus oxyrinchus
Dussumieria acuta
