Record_ID	Species	AphiaID	Family	Category	Year	Country	Precision of coordinates	Decimal_Lat	Decimal_Long	Reference	DOI
1062	Fistularia commersonii	217966	Fistulariidae	EXOTIC CAN	2001	Libya	Pre	32,883	22,367	Ben Abdallah, A. R., Al-Turky A., Fituri, A. A. Exotic fishes along the coast of Libya (Arabic with English abstract). Libyan J. Mar. Sci. 10, 48-56 (2005c).	NA
2132	Pempheris rhomboidea	310134	Pempheridae	EXOTIC CAN	2005	Libya	Con	32,132	19,963	Ben Abdallah, A.R, Al-Turky A., Fituri, A.A. New records of invasive fishes in the western Libyan coast. Bull. Inst. Natn. Scien. Tech. Mer de Salammbô n°spécial, 9, Actes des 7èmes Journées de l’ATSMer, Zarzis (2004) (Tunisie) 18-22 décembre 2004, 117-118 (2004).	NA
3396	Scomberomorus commerson	127024	Scombridae	EXOTIC CAN	2005	Libya	Con	32,132	19,963	Ben Abdallah, A.R, Al-Turky A., Fituri, A.A. New records of invasive fishes in the western Libyan coast. Bull. Inst. Natn. Scien. Tech. Mer de Salammbô n°spécial, 9, Actes des 7èmes Journées de l’ATSMer, Zarzis (2004) (Tunisie) 18-22 décembre 2004, 117-118 (2004).	NA
3438	Seriola fasciata	126817	Carangidae	NRE	2003	Libya	Con	32,132	19,963	Ben Abdallah, A.R, Al-Turky A., Fituri, A.A. New records of invasive fishes in the western Libyan coast. Bull. Inst. Natn. Scien. Tech. Mer de Salammbô n°spécial, 9, Actes des 7èmes Journées de l’ATSMer, Zarzis (2004) (Tunisie) 18-22 décembre 2004, 117-118 (2004).	NA
4095	Siganus luridus	127044	Siganidae	EXOTIC CAN	2004	Libya	Pre	32,033	24,1	Ben Abdallah, A. R., Al-Turky A., Fituri, A. A. Exotic fishes along the coast of Libya (Arabic with English abstract). Libyan J. Mar. Sci. 10, 48-56 (2005c).	NA
4098	Siganus luridus	127044	Siganidae	EXOTIC CAN	1998	Egypt	Pre	31,2054	29,8087	Abdallah, M. A. M. Length-weight relationship of fishes caught by trawl off Alexandria, Egypt. Naga, ICLARM Quarterly. 25, 19-20 (2002).	NA
102	Alepes djedaba	126800	Carangidae	EXOTIC CAN	2005	Egypt	Pre	31,152	29,782	Abdallah, M. A. M. Trace element levels in some commercially valuable fish species from coastal waters of Mediterranean Sea, Egypt. J: Mar. Syst. 73, 114-122 (2008).	https://doi.org/10.1016/j.jmarsys.2007.09.006 
2242	Priacanthus hamrur	218360	Priacanthidae	EXOTIC CAN	1980	Tunisia	Pre	35,511	11,063	Abdelmouleh, A. Capture d’un Priacanthe: Priacanthus hamrur (Forsskål, 1775) poisson indopacifique, dans les eaux tunisiennes. Bull. Inst. Natl. Sci. Tech. Oceanogr. Pêche Salammbô. 8, 111-114 (1981).	NA
S393	Siganus luridus	127044	Siganidae	EXOTIC CAN	1975	Turkey	App	36,2449	33,8138	Ahnelt, H. Translocations of tropical and subtropical marine fish species into the Mediterranean. A case study based on Siganus virgatus (Teleostei: Siganidae). Biologia, 71, 952-959 (2016).	https://doi.org/10.1515/biolog-2016-0106
S394	Siganus luridus	127044	Siganidae	EXOTIC CAN	1975	Greece	App	36,4169	27,3871	Ahnelt, H. Translocations of tropical and subtropical marine fish species into the Mediterranean. A case study based on Siganus virgatus (Teleostei: Siganidae). Biologia, 71, 952-959 (2016).	https://doi.org/10.1515/biolog-2016-0106
S396	Siganus luridus	127044	Siganidae	EXOTIC CAN	2007	Greece	App	36,95	22,1333	Ahnelt, H. Translocations of tropical and subtropical marine fish species into the Mediterranean. A case study based on Siganus virgatus (Teleostei: Siganidae). Biologia, 71, 952-959 (2016).	https://doi.org/10.1515/biolog-2016-0106
4999	Trypauchen vagina	219593	Gobiidae	EXOTIC CAN	2010	Turkey	Pre	36,551	35,573	Akamca, E., Mavruk, S., Özyurt, C. E. & Kiyaga V. B. First record of the Indo-Pacific burrowing goby Trypauchen vagina (Bloch and Schneider, 1801) in the North-Eastern Mediterranean Sea. Aquat. Invasion 6, S19-S21 (2011).	http://dx.doi.org/10.3391/ai.2011.6.S1.004
353	Decapterus russelli	218427	Carangidae	EXOTIC CAN	2009	Turkey	Pre	36,571	36,102	Akamca, E., Mavruk, S., Özyurt, C. E., Kıyaga, V. B. & Manaşırlı, M. Two new Lessepsian species found in the north-eastern Levantine Basin: Broadbanded Cardinalfish (Apogon fasciatus (White, 1790)) and Indian Scad (Decapterus russelli (Rüppell, 1830)) (Osteichthyes). Zool. Middle East 51, 116-118 (2010).	https://doi.org/10.1080/09397140.2010.10638449
