Taxon;Origin;Status
Carcharhinus altimus;TA;E
Carcharhinus falciformis;TA;E
Galeocerdo cuvier;TA;A
Rhizoprionodon acutus;TA;A
Sphyrna mokarran;TA;A
Himantura uarnak;IP;E
Glaucostegus halavi;IP;A
Dussumieria elopsoides;IP;E
Etrumeus golanii;IP;E
Herklotsichthys punctatus;IP;E
Sardinella gibbosa;IP;A
Spratelloides delicatulus;IP;E
Encrasicolina gloria;IP;A
Stolephorus indicus;IP;A
Stolephorus insularis;IP;E 
Enchelycore anatina;TA;A
Gymnothorax reticularis;IP;A
Chanos chanos;IP;A
Gadus morhua;BA;A
Rhynchoconger trewavasae;IP;A
Muraenesox cinereus;IP;A
Pisodonophis semicinctus;TA;E
Halosaurus ovenii;TA;A
Arius parkii;TA;A
Plotosus lineatus;IP;E
Saurida lessepsianus;IP;E
Bregmaceros nectabanus;IP;E
Chaunax suttkusi;TA;A
Cheilopogon furcatus;TA;A
Parexocoetus mento;IP;E
Tylosurus choram;IP;A
Hemiramphus far;IP;E
Hyporhamphus affinis;IP;E
Fistularia commersonii;IP;E
Fistularia petimba;TA;A
Hippocampus fuscus;IP;E
Syngnathus rostellatus;BA;E
Atherinomorus forskali;IP;E
Gephyroberyx darwini;TA;A
Beryx splendens;TA;A
Zenopsis conchifer;TA;A
Sargocentron rubrum;IP;E
Cyclopterus lumpus;;A
Pterois miles;IP;E
Scorpaena stephanica;TA;A
Trachyscorpia cristulata echinata;TA;E
Synanceia verrucosa;IP;A
Elates ransonnetti;;A
Papilloculiceps longiceps;IP;A
Platycephalus indicus;IP;E
Sorsogona prionota;IP;A
Cephalopholis taeniops;TA;
Epinephelus areolatus;IP;A
Epinephelus coioides;IP;E
Epinephelus fasciatus;IP;A
Epinephelus geoffroyi;IP;A
Epinephelus malabaricus;IP;E
Epinephelus merra;;A
Mycteroperca fusca;TA;A
Paranthias furcifer;;
Pelates quadrilineatus;IP;E
Terapon jarbua;IP;A
Terapon puta;IP;E
Terapon therapes;;A
Apogonichthyoides pharaonis;IP;E
Cheilodipterus novemstriatus;IP;E
Jaydia queketti;IP;E
Jaydia smithi;IP;E
Ostorhinchus fasciatus;IP;E
Priacanthus sagittarius;IP;A
Synagrops japonicus;IP;A
Sillago suezensis;IP;E
Rachycentron canadum;IP;A
Alepes djedaba;IP;E
Decapterus russelli;IP;E
Chloroscombrus chrysurus;TA;A
Selene dorsalis;TA;A
Seriola fasciata;TA;E
Seriola carpenteri;TA;E
Seriola rivoliana;TA;
Equuilites popei;IP;A
Equuilites klunzingeri;IP;E
Taractes rubescens;A;A
Lutjanus argentimaculatus;IP;A
Lutjanus fulviflamma;IP;A
Lutjanus jocu;;
Parupeneus forsskali;IP;E
Pseudupeneus prayensis;TA;A
Upeneus moluccensis;IP;E
Upeneus pori;IP;E
Plectorhinchus gaterinus;IP;A
Pomadasys stridens;IP;E
Nemipterus randalli;IP;E
Acanthopagrus bifasciatus;IP;A
Crenidens crenidens;IP;E
Diplodus bellottii;TA;E
Pagellus bellottii;TA;E
Pagrus major;;
Rhabdosargus haffara;IP;E
Pempheris mangula;IP;E
Scatophagus argus;;
Abudefduf hoefleri;A;A
Chrysiptera cyanea;IP;A
Stegastes variabilis;IP;A
Abudefduf saxatilis;TA;A
Oplegnathus fasciatus;;A
Kyphosus incisor;IP;A
Chaetodon austriacus;IP;E
Chaetodon larvatus;IP;
Heniochus intermedium;IP;
Holacanthus ciliaris;;
Pomacanthus imperator;IP;A
Pomacanthus maculosus;IP;
Liza carinata;IP;E
Liza haematocheila;IP;E
Sphyraena chrysotaenia;IP;E
Sphyraena flavicauda;IP;E
Centrolabrus exoletus;BA;A
 Iniistius pavo;IP;
Pteragogus pelycus;IP;E
Scarus ghobban;IP ;
Pinguipes brasilianus;TA;A
Omobranchus punctatus;IP;
Parablennius thysanius;IP;A
Petroscirtes ancylodon;IP;A
Coryogalops ochetica;IP;A
Cryptocentrus caeruleopunctatus;IP;E
Oxyurichthyssi;IP;E
Silhouetta aegyptia;IP;E
Tridentiger trigonocephalus;;
Trypauchen vagina;IP;
Gymnammodytes semisquamatus;BA;E
Callionymus filamentosus;IP;E
Synchirops sechellensis;IP;A
Siganus luridus;IP;E
Siganus rivulatus;IP;E
Rastrelliger kanagurta;IP;A
Scomberomorus commerson;IP;E
Makaira indica;IP;A
Psenes pellucidus;TA;E
Acanthurus chirurgus;IP;A
Acanthurus coeruleus;IP;A
Acanthurus monroviae;TA;E
Zebrasoma flavescens;A;A
Zebrasoma xanthurum;IP;A
Platax teira;;A
Microchirus boscanion;TA;
Microchirus (Zevaia) hexophthalmus;TA;E
Solea senegalensis;TA;E
Synaptura lusitanica;TA;E
Cynoglossus sinusarabici;IP;E
Aluterus monocerus;TA;
Stephanolepis diaspros;IP;E
Balistoides conspicillium;IP;A
Ostracion cubicus;IP;
Tetrosomus gibbosus;IP;E
Lagocephalus sceleratus;IP;
Lagocephalus guentheri;IP;E
Lagocephalus suezensis ;IP;E
Sphoeroides marmoratus;TA;
Sphoeroides pachygaster;TA;E
Torquigener flavimaculosus;IP;A
Tylerius spinosissimus;;
Cyclichthys spilostylus;IP;A
Diodon hystrix;TA;A
