"","Species","SpecCode.x","Genus.x","SpeciesRefNo","Author","PicPreferredName","FamCode","GenCode","BodyShapeI","Source","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","AirBreathing","Vulnerability","Length","LTypeMaxM","MaxLengthRef","PriceCateg","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","UsedasBait","Aquarium","GameFish","Dangerous","Electrogenic","GoogleImage","Comments","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","SpecCode.y","Genus.y","Family","Order","Class","SuperClass","Phylum","AreaCode","StockCode","Status","FAO","Invasive","MaxLengthTL","Troph","TempPrefMin","TempPrefMean","TempPrefMax"
"1","Ablennes hians",972,"Ablennes",9682,"(Valenciennes, 1846)","Abhia_m0.jpg",207,4864,"elongated","R",0,0,1,1,"reef-associated","WaterAssumed",39.61,140,"TL",40637,"high",1,1,1,0,1,0,0,0,1,0,"never/rarely","never/rarely","never/rarely",1,"harmless","no special ability",1,"Inhabits neritic and oceanic waters but more often found near islands (Ref. 5213).  Found in estuaries (Ref. 26340), and coastal rivers (Ref. 33587).  Sometimes forming large schools (Ref. 5217).  Feeds mainly on small fishes (Ref. 9279).  Oviparous (Ref. 205).  Eggs may be found attached to objects in the water by filaments on the egg's surface (Ref. 205). Since the jaws are frequently broken, the maximum length is given as body length excluding head and caudal fin.  Usually caught with the help of artificial lights (Ref. 9279).  Marketed  fresh and salted; smoked or frozen (Ref. 9987).  Market limited due to the green-colored flesh (Ref. 5217).  In females, only left gonad is developed, and in males the right gonad is small or absent (Ref. 26938).",1,0,1,1990-10-17,65,2015-04-14,972,"Ablennes","Belonidae","Beloniformes","Teleostei","Osteichthyes","Chordata",37,988,"native","Mediterranean and Black Sea","Yes",140,4.5,22.6,27.9,29.2
"2","Abudefduf hoefleri",11811,"Abudefduf",7247,"(Steindachner, 1881)","Absax_ua.jpg",350,7803,"short and / or deep","R",0,0,0,1,"reef-associated","WaterAssumed",10,20,"TL",27000,"unknown",0,0,0,0,0,0,0,0,0,0,"never/rarely","never/rarely",NA,0,"harmless","no special ability",1,"Littoral species that inhabit rocky reefs (Ref. 10797).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).",0.5,0,65,1994-07-21,2,2011-07-15,11811,"Abudefduf","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes","Chordata",NA,NA,NA,NA,"Yes",20,2.72000002861023,NA,NA,NA
"3","Abudefduf saxatilis",1119,"Abudefduf",7247,"(Linnaeus, 1758)","Absax_u7.jpg",350,7803,"short and / or deep","R",0,0,0,1,"reef-associated","WaterAssumed",12.9,22.8999996185303,"TL",26340,"unknown",1,0,1,1,0,0,0,0,1,0,"never/rarely","never/rarely","commercial",0,"harmless","no special ability",1,"Juveniles are common in tide pools while adults are found over shallow reef tops.  Adults frequently form large feeding aggregations of up to several hundred individuals.  Food items include algae, small crustaceans and fish, and various invertebrate larvae (Ref. 3139).  At Fernando de Noronha Archipelago, this species feeds on spinner dolphins’ feces and vomits. The offal feeding may be regarded as a simple behavioral shift from plankton feeding to drifting offal picking.  Also, juveniles may hold cleaning stations together with the doctorfish (<i>Acanthurus chirurgus</i>) and the blue tang (<i>Acanthurus coeruleus</i>) and graze algae as well as pick molted skin and parasites from green turtles (<i>Chelonia mydas </i>).  This behavior is preceded by a characteristic inspection usually followed by feeding nips on the turtles’ skin (head, limbs, and tail), as well as on the carapace. The most inspected and cleaned body parts are the flippers (Ref. 48727, 51385).  Adult males adopt a bluish ground color when guarding eggs.  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Attracted to divers who feed fish.  Marketed fresh (Ref. 3139).  Has been reared in captivity (Ref. 35420).",0.5,0,1,1990-10-17,65,2015-03-20,1119,"Abudefduf","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes","Chordata",37,1135,"introduced","Mediterranean and Black Sea","Yes",22.8999996185303,3.8199999332428,19.9,27.3,28.1
"4","Abudefduf sexfasciatus",5688,"Abudefduf",7247,"(Lacepède, 1801)","Absex_u0.jpg",350,7803,"short and / or deep","R",0,0,0,1,"reef-associated","WaterAssumed",10,19,"TL",90102,"unknown",0,0,0,0,0,0,0,0,0,0,"never/rarely","never/rarely","public aquariums",0,"harmless","no special ability",1,"Adults inhabit inshore and offshore coral or rocky reefs.  Also in shallow coastal reef flats or crests, usually where lots of tall soft corals or hydroid colonies are present (Ref. 48636).  Often found in groups feeding at midwater or tending nests among rocks and coral ledges (Ref. 90102).  Feed on zooplankton and algae and aggregates high in the water column (Ref. 9710).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).",0.5,0,14,1992-06-11,2310,2013-04-25,5688,"Abudefduf","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes","Chordata",NA,NA,NA,NA,"Yes",19,2.70000004768372,24.7,28.4,29.3
"5","Abudefduf vaigiensis",6630,"Abudefduf",7247,"(Quoy & Gaimard, 1825)","Abvai_ub.jpg",350,7803,"short and / or deep","R",0,0,0,1,"reef-associated","WaterAssumed",15.82,20,"TL",4391,"unknown",0,1,0,0,0,0,0,0,1,0,"never/rarely","never/rarely","commercial",0,"reports of ciguatera poisoning","no special ability",1,"Adults inhabit upper edge of outer reef slopes and inshore rocky reefs.  Juveniles associated with drifting seaweed (Ref. 12114, 12115).  Benthopelagic (Ref. 58302).  Feed on  zooplankton, benthic algae, and small invertebrates (Ref. 1602).  Often in aggregations (Ref. 9710) feeding at midwater or tending nests among rocks and coral ledges (Ref. 90102).  In large numbers at spawning sites that are timed with large tides that carry their pelagic offspring far offshore (Ref. 48636).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).",0.5,0,14,1992-11-27,2761,2021-11-19,6630,"Abudefduf","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes","Chordata",37,6950,"introduced","Mediterranean and Black Sea","Yes",20,2.5699999332428,21.9,28.2,29.3
"6","Acanthocybium solandri",89,"Acanthocybium",168,"(Cuvier, 1832)","Acsol_ua.jpg",416,369,"elongated","R",0,0,0,1,"pelagic-oceanic","WaterAssumed",46.13,250,"TL",30573,"very high",0,1,0,0,0,0,0,0,1,0,"never/rarely","never/rarely","never/rarely",1,"reports of ciguatera poisoning","no special ability",1,"An oceanic, epipelagic species frequently solitary or forming small loose aggregations rather than compact schools.  Feed on fishes and squids. Eggs and larvae are pelagic (Ref. 6769).   An important sport fish in some areas (Ref. 9340).  Marketed fresh, salted or spice-cured slices of meat; also frozen (Ref. 9987).  Flesh of very good quality (Ref. 9684). Minimum depth from Ref. 005227.",1,0,2,1990-10-17,949,2016-06-22,89,"Acanthocybium","Scombridae","Scombriformes","Teleostei","Osteichthyes","Chordata",37,104,"native","Mediterranean and Black Sea","No",250,4.26000022888184,18.2,24.7,27.6
"7","Acantholabrus palloni",7633,"Acantholabrus",5292,"(Risso, 1810)","Acpal_u3.jpg",362,516,"fusiform / normal","R",0,0,0,1,"reef-associated","WaterAssumed",15,25,"TL",5292,"very high",0,0,0,0,0,1,0,0,0,0,"never/rarely","never/rarely","never/rarely",0,"harmless","no special ability",1,"Adults inhabit coastal waters near rocky or sandy bottoms.  Feed on benthic invertebrates.  Solitary (Ref. 2683).  Oviparous, distinct pairing during breeding (Ref. 205).  Males build dish shaped nests and guard the eggs (Ref. 205).",1,0,18,1993-03-16,2,2011-07-28,7633,"Acantholabrus","Labridae","Eupercaria/misc","Teleostei","Osteichthyes","Chordata",37,7941,"native","Mediterranean and Black Sea","No",25,3.5,7.1,9.9,15.1
"8","Acanthopagrus bifasciatus",4543,"Acanthopagrus",95256,"(Forsskål, 1775)","Acbif_u0.jpg",330,6927,"fusiform / normal","O",0,0,1,1,"reef-associated","WaterAssumed",37.35,36.2000007629395,"SL",95256,"high",0,0,0,1,0,1,0,0,1,0,"never/rarely","never/rarely","never/rarely",0,"harmless","no special ability",1,"Occur in small groups.  (Ref. 9710).  Marketed fresh or dried.",0.5,0,2,1991-07-19,14,2014-03-17,4543,"Acanthopagrus","Sparidae","Eupercaria/misc","Teleostei","Osteichthyes","Chordata",37,4728,"introduced","Mediterranean and Black Sea","Yes",44.1599998474121,3.39000010490417,25,27.6,29.2
"9","Acanthostracion notacanthus",23370,"Acanthostracion",11227,"(Bleeker, 1863)","Acnot_u1.jpg",446,4119,"short and / or deep","R",0,0,0,1,"demersal","WaterAssumed",40,50,"TL",11227,"high",0,0,0,0,0,0,0,0,0,0,"never/rarely","never/rarely","never/rarely",0,"harmless","no special ability",1,"Found over rocks, rubble and sand (Ref. 5288), mainly around islands (Ref. 11227).",0.5625,0,34,1996-05-23,2291,2015-03-17,23370,"Acanthostracion","Ostraciidae","Tetraodontiformes","Teleostei","Osteichthyes","Chordata",37,18560,"native","Mediterranean and Black Sea","No",50,2.35999989509583,21.5,26.2,28
"10","Acanthostracion polygonium",4287,"Acanthostracion",35505,"Poey, 1876","Acpol_ub.jpg",446,4119,"short and / or deep","O",0,0,0,1,"reef-associated","WaterAssumed",40,50,"TL",36453,"high",1,0,0,1,0,0,0,0,0,0,"never/rarely","never/rarely","commercial",0,"reports of ciguatera poisoning","no special ability",1,"Occurs in clear water around coral reefs.  Feeds on sponges, alcyonarians, tunicates, and shrimp.  Uncommon and wary (Ref. 9710).  Consumed fresh, generally roasted (Ref. 5217).",0.5625,0,1,1991-05-02,2648,2022-04-09,4287,"Acanthostracion","Ostraciidae","Tetraodontiformes","Teleostei","Osteichthyes","Chordata",NA,NA,NA,NA,"Yes",50,2.02999997138977,21.4,25.9,28
"11","Acanthostracion quadricornis",92,"Acanthostracion",3141,"(Linnaeus, 1758)","Acqua_u4.jpg",446,4119,"short and / or deep","R",0,0,0,1,"reef-associated","WaterAssumed",42,55,"TL",6937,"high",1,0,0,0,0,0,0,0,0,0,"never/rarely","never/rarely","commercial",0,"reports of ciguatera poisoning","no special ability",1,"Found in shallow water down to about 80 m, mainly in seagrass beds (Ref. 3696).  Feeds on sessile invertebrates such as tunicates, gorgonians and anemones, as well as on slow-moving crustaceans, sponges (Ref. 3696), hermit crabs and marine plants (Ref. 13442).  Oviparous (Ref. 205).  Considered an excellent food fish; marketed fresh (Ref. 3696).",0.5625,0,2,1990-10-17,303,2005-06-29,92,"Acanthostracion","Ostraciidae","Tetraodontiformes","Teleostei","Osteichthyes","Chordata",37,106,"questionable","Mediterranean and Black Sea","No",55,2.6800000667572,22.3,25.4,28
"12","Acanthurus chirurgus",943,"Acanthurus",7251,"(Bloch, 1787)","Acchi_u2.jpg",412,9710,"short and / or deep","R",0,0,0,1,"reef-associated","WaterAssumed",22.98,39,"TL",47377,"medium",0,0,1,0,1,0,0,0,0,0,"never/rarely","never/rarely","commercial",0,"traumatogenic","no special ability",1,"Inhabits shallow reefs or rocky areas.  Found in loose aggregations (Ref. 9710).  Mainly diurnal.  Ingests sand when feeding on algae (Ref. 13442).  The spine on both sides of the caudal peduncle may inflict painful wounds (Ref. 5217).  Minimum depth reported from Ref. 27115.  Larvae are planktonic (Ref. 47377).  At Fernando de Noronha Archipelago in  southwestern Atlantic,  juveniles hold cleaning stations together with the blue tang (<i>Acanthurus coeruleus</i>) and sergeant major (<i>Abudefduf saxatilis</i>) and graze algae as well as pick molted skin and parasites from green turtles (<i>Chelonia mydas</i>).  This behavior is preceded by a characteristic inspection usually followed by feeding nips on the turtles’ skin (head, limbs, and tail), as well as on the carapace. The most inspected and cleaned body parts are the flippers (Ref. 51385).",0.5,0,2,1990-10-17,763,2004-06-21,943,"Acanthurus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes","Chordata",NA,NA,NA,NA,"Yes",39,2.08999991416931,26.1,27.4,28
